request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_176,451.82,affordable_later,wait,2025-03-19:1239.70,2025-03-19,none,"Not safe to pay today; the full 1239.70 EUR is forecast safe on 2025-03-19, so waiting is recommended over paying now."
request_177,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 1017.60 USD cannot be completed without breaching the minimum balance of 1300 USD, even with available spending flexibility."
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,Installment plan payment_option_506 (3 payments totaling 3055.62 EUR) stays safely above the minimum balance throughout the forecast.
request_179,6406531.93,affordable_later,wait,2025-07-17:41648000,2025-07-17,none,"Not safe to pay today; the full 41648000 IDR is forecast safe on 2025-07-17, so waiting is recommended over paying now."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Full payment of 66500 INR today keeps the balance above the required minimum of 37300 INR throughout the 90-day forecast.
request_181,407.97,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 5059.20 USD cannot be completed without breaching the minimum balance of 2000 USD, even with available spending flexibility."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Full payment of 65714 ZAR today keeps the balance above the required minimum of 31100 ZAR throughout the 90-day forecast.
request_183,23085217.06,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-14,none,Installment plan payment_option_521 (3 payments totaling 27940640.01 IDR) stays safely above the minimum balance throughout the forecast.
request_184,9369.95,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 251900 INR cannot be completed without breaching the minimum balance of 110800 INR, even with available spending flexibility."
request_185,408.50,affordable_later,wait,2026-01-13:1257.30,2026-01-13,none,"Not safe to pay today; the full 1257.30 EUR is forecast safe on 2026-01-13, so waiting is recommended over paying now."
request_186,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 26554 ZAR cannot be completed without breaching the minimum balance of 22000 ZAR, even with available spending flexibility."
request_187,38400.55,affordable_later,wait,2024-11-13:187500,2024-11-13,none,"Not safe to pay today; the full 187500 INR is forecast safe on 2024-11-13, so waiting is recommended over paying now."
request_188,113.66,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 2464 EUR cannot be completed without breaching the minimum balance of 900 EUR, even with available spending flexibility."
request_189,488.40,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Full payment of 488.40 EUR today keeps the balance above the required minimum of 400 EUR throughout the 90-day forecast.
request_190,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 2557.50 EUR cannot be completed without breaching the minimum balance of 1600 EUR, even with available spending flexibility."
request_191,664.40,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Full payment of 664.40 EUR today keeps the balance above the required minimum of 500 EUR throughout the 90-day forecast.
request_192,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 2046 USD cannot be completed without breaching the minimum balance of 1000 USD, even with available spending flexibility."
request_193,21.93,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-18,none,Installment plan payment_option_549 (3 payments totaling 1260.69 EUR) stays safely above the minimum balance throughout the forecast.
request_194,40282.28,affordable_later,wait,2025-10-13:132800,2025-10-13,none,"Not safe to pay today; the full 132800 INR is forecast safe on 2025-10-13, so waiting is recommended over paying now."
request_195,109.06,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 1170.40 EUR cannot be completed without breaching the minimum balance of 700 EUR, even with available spending flexibility."
request_196,762.30,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Full payment of 762.30 EUR today keeps the balance above the required minimum of 500 EUR throughout the 90-day forecast.
request_197,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 50939000 IDR cannot be completed without breaching the minimum balance of 26245900 IDR, even with available spending flexibility."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Full payment of 185800 INR today keeps the balance above the required minimum of 124300 INR throughout the 90-day forecast.
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,Installment plan payment_option_569 (3 payments totaling 24620960.01 IDR) stays safely above the minimum balance throughout the forecast.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Full payment of 21717000 IDR today keeps the balance above the required minimum of 20114600 IDR throughout the 90-day forecast.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Full payment of 23997000 IDR today keeps the balance above the required minimum of 17304500 IDR throughout the 90-day forecast.
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,Full payment of 123900 INR today keeps the balance above the required minimum of 147800 INR throughout the 90-day forecast.
request_203,1442.10,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,Installment plan payment_option_583 (3 payments totaling 1499.79 EUR) stays safely above the minimum balance throughout the forecast.
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Full payment of 588.74 EUR today keeps the balance above the required minimum of 1300 EUR throughout the 90-day forecast.
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Full payment of 10621000 IDR today keeps the balance above the required minimum of 13994300 IDR throughout the 90-day forecast.
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Installment plan payment_option_592 (3 payments totaling 1460.88 EUR) stays safely above the minimum balance throughout the forecast.
request_207,4221.42,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Not safe to pay today; the full 11830 ZAR is forecast safe on 2026-07-15, so waiting is recommended over paying now."
request_208,3099384.74,affordable_later,wait,2024-06-14:4413000,2024-06-14,none,"Not safe to pay today; the full 4413000 IDR is forecast safe on 2024-06-14, so waiting is recommended over paying now."
request_209,1816.84,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 56914 ZAR cannot be completed without breaching the minimum balance of 18400 ZAR, even with available spending flexibility."
request_210,965.41,affordable_with_plan,partial_payment,2026-04-06:965.41|2026-04-14:394.61,2026-04-14,none,Paying 965.41 USD today and the remaining 394.61 USD on 2026-04-14 keeps the balance safe throughout the forecast while completing the request by 2026-06-23.
request_211,270.09,affordable_later,wait,2024-11-16:1788.60,2024-11-16,none,"Not safe to pay today; the full 1788.60 EUR is forecast safe on 2024-11-16, so waiting is recommended over paying now."
request_212,7761189.78,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 71934000 IDR cannot be completed without breaching the minimum balance of 29579800 IDR, even with available spending flexibility."
request_213,3362.40,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Installment plan payment_option_610 (3 payments totaling 3496.89 USD) stays safely above the minimum balance throughout the forecast.
request_214,56300.01,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-16,none,Installment plan payment_option_614 (2 payments totaling 72540 INR) stays safely above the minimum balance throughout the forecast.
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Installment plan payment_option_616 (3 payments totaling 31185.45 ZAR) stays safely above the minimum balance throughout the forecast.
request_216,469.64,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 3332.40 USD cannot be completed without breaching the minimum balance of 1800 USD, even with available spending flexibility."
request_217,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 37180 ZAR cannot be completed without breaching the minimum balance of 26800 ZAR, even with available spending flexibility."
request_218,25980890.02,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,Installment plan payment_option_625 (3 payments totaling 63587679.99 IDR) stays safely above the minimum balance throughout the forecast.
request_219,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 1673.10 EUR cannot be completed without breaching the minimum balance of 1100 EUR, even with available spending flexibility."
request_220,49.83,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 3118.50 EUR cannot be completed without breaching the minimum balance of 1100 EUR, even with available spending flexibility."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Full payment of 109800 INR today keeps the balance above the required minimum of 81500 INR throughout the 90-day forecast.
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Full payment of 34078 ZAR today keeps the balance above the required minimum of 27300 ZAR throughout the 90-day forecast.
request_223,898.70,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Full payment of 898.70 EUR today keeps the balance above the required minimum of 800 EUR throughout the 90-day forecast.
request_224,10327000,affordable_with_plan,installments,2025-02-04:5370040|2025-03-04:5370040,2025-02-04,none,Installment plan payment_option_645 (2 payments totaling 10740080 IDR) stays safely above the minimum balance throughout the forecast.
request_225,9364403.59,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-13,none,Installment plan payment_option_647 (3 payments totaling 22941360 IDR) stays safely above the minimum balance throughout the forecast.
request_226,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 157000 INR cannot be completed without breaching the minimum balance of 209400 INR, even with available spending flexibility."
request_227,7699.12,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 259700 INR cannot be completed without breaching the minimum balance of 62900 INR, even with available spending flexibility."
request_228,6655299.72,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 63327000 IDR cannot be completed without breaching the minimum balance of 26191200 IDR, even with available spending flexibility."
request_229,447.48,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-18,none,Installment plan payment_option_659 (3 payments totaling 1587.87 EUR) stays safely above the minimum balance throughout the forecast.
request_230,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 3537.60 EUR cannot be completed without breaching the minimum balance of 2000 EUR, even with available spending flexibility."
request_231,32368.31,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-02-15,none,Installment plan payment_option_666 (3 payments totaling 37134.24 ZAR) stays safely above the minimum balance throughout the forecast.
request_232,441.50,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 1970.10 EUR cannot be completed without breaching the minimum balance of 2400 EUR, even with available spending flexibility."
request_233,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 6241000 IDR cannot be completed without breaching the minimum balance of 10365700 IDR, even with available spending flexibility."
request_234,184.65,affordable_later,wait,2026-09-13:1213.30,2026-09-13,none,"Not safe to pay today; the full 1213.30 EUR is forecast safe on 2026-09-13, so waiting is recommended over paying now."
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Full payment of 967.20 USD today keeps the balance above the required minimum of 700 USD throughout the 90-day forecast.
request_236,6081340.68,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 52383000 IDR cannot be completed without breaching the minimum balance of 16768600 IDR, even with available spending flexibility."
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Full payment of 23826000 IDR today keeps the balance above the required minimum of 22431500 IDR throughout the 90-day forecast.
request_238,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 663.60 USD cannot be completed without breaching the minimum balance of 700 USD, even with available spending flexibility."
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Full payment of 642 USD today keeps the balance above the required minimum of 600 USD throughout the 90-day forecast.
request_240,14534.05,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 101200 INR cannot be completed without breaching the minimum balance of 52800 INR, even with available spending flexibility."
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Installment plan payment_option_695 (3 payments totaling 21894080.01 IDR) stays safely above the minimum balance throughout the forecast.
request_242,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 1966.80 EUR cannot be completed without breaching the minimum balance of 600 EUR, even with available spending flexibility."
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Full payment of 17468 ZAR today keeps the balance above the required minimum of 19900 ZAR throughout the 90-day forecast.
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Full payment of 49918 ZAR today keeps the balance above the required minimum of 45900 ZAR throughout the 90-day forecast.
request_245,32279.05,affordable_later,wait,2026-01-13:128500,2026-01-13,none,"Not safe to pay today; the full 128500 INR is forecast safe on 2026-01-13, so waiting is recommended over paying now."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Installment plan payment_option_710 (3 payments totaling 66649.44 ZAR) stays safely above the minimum balance throughout the forecast.
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Full payment of 1059.30 EUR today keeps the balance above the required minimum of 1300 EUR throughout the 90-day forecast.
request_248,1132.80,affordable_with_plan,partial_payment,2025-02-07:1132.80|2025-03-19:832.80,2025-03-19,none,Paying 1132.80 USD today and the remaining 832.80 USD on 2025-03-19 keeps the balance safe throughout the forecast while completing the request by 2025-04-28.
request_249,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 643.20 USD cannot be completed without breaching the minimum balance of 600 USD, even with available spending flexibility."
request_250,16124.83,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 124278 ZAR cannot be completed without breaching the minimum balance of 35300 ZAR, even with available spending flexibility."
request_251,1513.60,not_affordable,not_recommended,none,2025-05-03,none,"Not affordable within the 90-day forecast: the request of 1513.60 EUR cannot be completed without breaching the minimum balance of 1300 EUR, even with available spending flexibility."
request_252,3553677.74,affordable_later,wait,2026-09-13:28082000,2026-09-13,none,"Not safe to pay today; the full 28082000 IDR is forecast safe on 2026-09-13, so waiting is recommended over paying now."
request_253,1383.33,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-18,none,Installment plan payment_option_729 (3 payments totaling 2953.80 EUR) stays safely above the minimum balance throughout the forecast.
request_254,874.52,affordable_later,wait,2025-10-13:3535.20,2025-10-13,none,"Not safe to pay today; the full 3535.20 USD is forecast safe on 2025-10-13, so waiting is recommended over paying now."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Full payment of 3345000 IDR today keeps the balance above the required minimum of 9813900 IDR throughout the 90-day forecast.
request_256,162148.45,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-14,none,Installment plan payment_option_737 (3 payments totaling 227448 INR) stays safely above the minimum balance throughout the forecast.
request_257,355.58,affordable_later,wait,2026-01-16:1352.40,2026-01-16,none,"Not safe to pay today; the full 1352.40 USD is forecast safe on 2026-01-16, so waiting is recommended over paying now."
request_258,48.72,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 1113.60 USD cannot be completed without breaching the minimum balance of 500 USD, even with available spending flexibility."
request_259,492.44,affordable_later,wait,2024-10-14:935,2024-10-14,none,"Not safe to pay today; the full 935 EUR is forecast safe on 2024-10-14, so waiting is recommended over paying now."
request_260,7263222.52,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 52079000 IDR cannot be completed without breaching the minimum balance of 20727700 IDR, even with available spending flexibility."
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Full payment of 1830.40 EUR today keeps the balance above the required minimum of 1500 EUR throughout the 90-day forecast.
request_262,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 9236000 IDR cannot be completed without breaching the minimum balance of 31018500 IDR, even with available spending flexibility."
request_263,5256.59,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 51546 ZAR cannot be completed without breaching the minimum balance of 24100 ZAR, even with available spending flexibility."
request_264,23132.09,affordable_later,wait,2026-06-13:111300,2026-06-13,none,"Not safe to pay today; the full 111300 INR is forecast safe on 2026-06-13, so waiting is recommended over paying now."
request_265,45970,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Full payment of 45970 INR today keeps the balance above the required minimum of 189700 INR throughout the 90-day forecast.
request_266,935,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,Installment plan payment_option_764 (3 payments totaling 972.39 EUR) stays safely above the minimum balance throughout the forecast.
request_267,1644.17,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-13,none,Installment plan payment_option_767 (3 payments totaling 2001.99 EUR) stays safely above the minimum balance throughout the forecast.
request_268,1061.93,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-14,none,Installment plan payment_option_770 (3 payments totaling 2523.66 EUR) stays safely above the minimum balance throughout the forecast.
request_269,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 15490 ZAR cannot be completed without breaching the minimum balance of 23100 ZAR, even with available spending flexibility."
request_270,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 3028.80 USD cannot be completed without breaching the minimum balance of 1400 USD, even with available spending flexibility."
request_271,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 91300 INR cannot be completed without breaching the minimum balance of 58200 INR, even with available spending flexibility."
request_272,6012827.37,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-16,none,Installment plan payment_option_780 (3 payments totaling 14128400.01 IDR) stays safely above the minimum balance throughout the forecast.
request_273,9480744.18,affordable_with_plan,partial_payment,2026-04-07:9480744.18|2026-04-14:6380255.82,2026-04-14,none,Paying 9480744.18 IDR today and the remaining 6380255.82 IDR on 2026-04-14 keeps the balance safe throughout the forecast while completing the request by 2026-06-15.
request_274,2086.69,not_affordable,not_recommended,none,2025-02-16,none,"Not affordable within the 90-day forecast: the request of 2713.70 EUR cannot be completed without breaching the minimum balance of 1800 EUR, even with available spending flexibility."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Full payment of 15884000 IDR today keeps the balance above the required minimum of 12760100 IDR throughout the 90-day forecast.
